,id,title,weighted_rating,genre_embedding,keywords_embedding,year
0,27205,Inception,8.343669514861979,"[ 0.08778477 -0.59489363  0.36260477  0.8192935  -0.3515774  -0.07925841
  0.437438   -0.09110508]","[-0.40175968 -0.53906643  0.32337314  0.28863746  0.09849852 -0.38224554
  0.39584175  0.07791181 -0.3175428   0.28772554  0.5218774  -0.17267016
  0.08944341 -0.653449   -0.00221653  0.025751    0.05196224 -0.2517729
  0.32300425  0.56046385  0.6687776   0.5525768   0.51623017 -0.11786075
  0.08709659  0.1478738  -0.7366056   0.10728417 -0.10377052 -0.38738233
 -0.02030687  0.34602368]",0.8968253968253954
1,157336,Interstellar,8.394802003636071,"[ 0.06133806 -0.58916956  0.4043975   0.8405519  -0.3571256  -0.09186306
  0.5098956  -0.0504287 ]","[-0.12954843 -0.4967458   0.21164055  0.24440303  0.15562966 -0.32876596
  0.28026205  0.13347061 -0.2504063   0.11140299  0.37153834 -0.12872812
  0.08303607 -0.4425058   0.06438737  0.03266547  0.04310681 -0.010093
  0.19838727  0.4625497   0.5498637   0.35372272  0.3539525  -0.08382744
 -0.02447564  0.01972533 -0.3677461   0.00551785 -0.00361604 -0.33262303
 -0.03798923  0.21241342]",0.928571428571427
2,155,The Dark Knight,8.487106842994187,"[ 0.08840194 -0.51898986  0.3370414   0.8185041  -0.38498342 -0.06795454
  0.5106068  -0.08003905]","[-0.08771628 -0.615035    0.27744502  0.43466723  0.23018813 -0.3173977
  0.40866715  0.17976867 -0.08939571  0.14360678  0.48146138 -0.17554364
  0.1045133  -0.48391247  0.07559738 -0.05295871  0.28249204 -0.01517254
  0.19655976  0.5538981   0.82626784  0.39376372  0.5084768  -0.15670888
 -0.18785942 -0.02353187 -0.41152588 -0.07714042  0.16492607 -0.41761944
 -0.11103944  0.41406992]",0.8809523809523796
3,19995,Avatar,7.560629670735539,"[ 0.06259677 -0.6202787   0.3927696   0.80606633 -0.32153305 -0.06870788
  0.42872894 -0.1263299 ]","[-0.08496704 -0.5658129   0.22957993  0.26641905  0.2009883  -0.34319085
  0.30687934  0.15542221 -0.2828111   0.10721012  0.39293763 -0.15393578
  0.11209945 -0.47500616  0.10713354  0.04087137  0.03467905  0.0264645
  0.19304013  0.5230288   0.6323624   0.38836056  0.40208286 -0.09037
 -0.025422   -0.00326943 -0.40136617 -0.0399044   0.00462781 -0.40100527
 -0.03681078  0.1996024 ]",0.8888888888888875
4,24428,The Avengers,7.69539252300306,"[ 0.08778477 -0.59489363  0.36260477  0.8192935  -0.3515774  -0.07925841
  0.437438   -0.09110508]","[ 0.05391724 -0.7055093   0.29352066  0.6338653   0.32735166 -0.32681534
  0.4758296   0.28643033  0.16812736  0.06951761  0.51291704 -0.29436094
  0.07152487 -0.53906965  0.18599695 -0.08866395  0.32363856  0.05582422
  0.24157494  0.6577734   1.1189601   0.35309547  0.62120557 -0.12367267
 -0.27823272 -0.15358886 -0.1955659  -0.2271874   0.36098677 -0.48346192
 -0.17139156  0.5478762 ]",0.9126984126984112
5,293660,Deadpool,7.592763160286452,"[ 0.06664924 -0.68604636  0.45997953  0.8394825  -0.37814084 -0.05721846
  0.419065   -0.15493803]","[ 0.04176731 -0.7780557   0.331539    0.74802524  0.34888902 -0.35852328
  0.54450274  0.3129731   0.24818772  0.10060909  0.60447717 -0.31357816
  0.05453892 -0.5839474   0.15616928 -0.13506316  0.4640508   0.02332167
  0.28681034  0.73743534  1.2591807   0.38539162  0.6947336  -0.14998235
 -0.3438073  -0.1867586  -0.21742599 -0.23903726  0.45218492 -0.52009517
 -0.22358106  0.6789481 ]",0.9444444444444446
6,299536,Avengers: Infinity War,8.231414086175594,"[ 0.08778477 -0.59489363  0.36260474  0.8192935  -0.3515774  -0.0792584
  0.43743804 -0.09110508]","[ 0.02825912 -0.6141927   0.27298424  0.53956324  0.28999683 -0.35252306
  0.40991986  0.24530645  0.0612933   0.11237982  0.5007562  -0.25070715
  0.05901883 -0.4938086   0.1190555  -0.0428257   0.30275097  0.00839084
  0.22047715  0.6270759   0.9682257   0.34589362  0.5455908  -0.13980821
 -0.23938441 -0.11897513 -0.24471354 -0.14419194  0.2745501  -0.44985425
 -0.12513958  0.48862195]",0.9603174603174605
7,550,Fight Club,8.411200176092427,"[ 0.04031683 -0.5657345   0.4824852   0.9308497  -0.4820579  -0.1501489
  0.5637227   0.01349164]","[-0.23404431 -0.42357352  0.21204205  0.24889882  0.05861428 -0.32752445
  0.29351816  0.10669485 -0.2619502   0.14199361  0.39646563 -0.08289151
  0.04645989 -0.45213407 -0.03132679  0.00781995  0.06972903 -0.10914908
  0.2088191   0.41627064  0.4834097   0.39849237  0.34052688 -0.09913994
  0.01291576  0.0829425  -0.43059024  0.10129163 -0.01658322 -0.26617447
 -0.02647779  0.26490003]",0.8095238095238084
8,118340,Guardians of the Galaxy,7.886952842342361,"[ 0.08778477 -0.59489363  0.36260477  0.8192935  -0.3515774  -0.07925841
  0.437438   -0.09110508]","[ 0.1096397  -0.8188479   0.31474698  0.5418186   0.35644227 -0.36361414
  0.4399932   0.31161386  0.01431221  0.01348956  0.51537114 -0.3013907
  0.0821131  -0.52611196  0.26172504  0.0045332   0.18842643  0.15053183
  0.20823283  0.7480505   1.120312    0.3539284   0.5935918  -0.11400875
 -0.20342346 -0.1569111  -0.1977274  -0.28323254  0.28714168 -0.5691754
 -0.13661289  0.41229233]",0.928571428571427
9,680,Pulp Fiction,8.459023846823964,"[ 0.09681697 -0.4636592   0.2542867   0.73804617 -0.29623124 -0.00466716
  0.56617737 -0.11255518]","[-0.16392866 -0.6021367   0.21759619  0.1865178   0.19745328 -0.17156471
  0.31642666  0.09675705 -0.20958778  0.19957429  0.33516952 -0.23819594
  0.18322295 -0.42343527  0.14627723  0.00886313 -0.05798617  0.00112614
  0.14648291  0.44471154  0.55762666  0.3341358   0.43228066 -0.06554691
  0.01579883  0.08088415 -0.45798168 -0.08571165 -0.0961813  -0.41554126
 -0.04091211  0.14080389]",0.7698412698412689
